--- V O L T A G E   P R O F I L E  ---- DATE:  6-24-2004 AT 16:54:32 HOURS ----
 SUBSTATION:  IEEE 123;   FEEDER:  IEEE 123                                     
 -------------------------------------------------------------------------------
 NODE  |   MAG       ANGLE  |    MAG       ANGLE  |    MAG       ANGLE |mi.to SR
 -------------------------------------------------------------------------------
 ______|_______ A-N ______  |_______ B-N _______  |_______ C-N _______ |
 150   |  1.0000 at    .00  |  1.0000 at -120.00  |  1.0000 at  120.00 |    .000
 RG1   |  1.0437 at    .00  |  1.0438 at -120.00  |  1.0438 at  120.00 |    .000
 149   |  1.0436 at   -.02  |  1.0437 at -120.02  |  1.0436 at  119.98 |    .000
 1     |  1.0311 at   -.66  |  1.0412 at -120.33  |  1.0348 at  119.60 |    .076
 2     |                    |  1.0410 at -120.33  |                    |    .109
 3     |                    |                     |  1.0331 at  119.57 |    .123
 4     |                    |                     |  1.0326 at  119.56 |    .161
 5     |                    |                     |  1.0318 at  119.55 |    .185
 6     |                    |                     |  1.0311 at  119.53 |    .232
 7     |  1.0218 at  -1.13  |  1.0395 at -120.57  |  1.0291 at  119.35 |    .133
 8     |  1.0158 at  -1.44  |  1.0382 at -120.74  |  1.0253 at  119.18 |    .171
 12    |                    |  1.0379 at -120.74  |                    |    .213
 13    |  1.0079 at  -1.87  |  1.0360 at -120.97  |  1.0196 at  118.90 |    .227
 152   |  1.0078 at  -1.88  |  1.0360 at -120.98  |  1.0196 at  118.89 |    .227
 52    |  1.0018 at  -2.26  |  1.0348 at -121.22  |  1.0164 at  118.64 |    .303
 53    |   .9991 at  -2.43  |  1.0340 at -121.34  |  1.0148 at  118.51 |    .341
 54    |   .9976 at  -2.53  |  1.0334 at -121.41  |  1.0138 at  118.43 |    .365
 55    |   .9974 at  -2.54  |  1.0334 at -121.42  |  1.0139 at  118.43 |    .417
 56    |   .9974 at  -2.53  |  1.0332 at -121.43  |  1.0140 at  118.43 |    .469
 57    |   .9945 at  -2.83  |  1.0306 at -121.61  |  1.0113 at  118.21 |    .431
 58    |                    |  1.0300 at -121.63  |                    |    .478
 59    |                    |  1.0296 at -121.63  |                    |    .526
 60    |   .9880 at  -3.51  |  1.0256 at -122.00  |  1.0052 at  117.76 |    .573
 160   |   .9880 at  -3.52  |  1.0256 at -122.01  |  1.0052 at  117.75 |    .573
 RG4   |  1.0374 at  -3.52  |  1.0320 at -122.01  |  1.0366 at  117.75 |    .573
 67    |  1.0355 at  -3.77  |  1.0311 at -122.19  |  1.0345 at  117.61 |    .640
 68    |  1.0340 at  -3.79  |                     |                    |    .677
 69    |  1.0322 at  -3.83  |                     |                    |    .730
 70    |  1.0310 at  -3.85  |                     |                    |    .791
 71    |  1.0303 at  -3.86  |                     |                    |    .843
 72    |  1.0359 at  -3.86  |  1.0302 at -122.29  |  1.0343 at  117.50 |    .692
 73    |                    |                     |  1.0321 at  117.46 |    .744
 74    |                    |                     |  1.0303 at  117.42 |    .810
 75    |                    |                     |  1.0293 at  117.40 |    .886
 76    |  1.0358 at  -3.92  |  1.0297 at -122.38  |  1.0349 at  117.45 |    .730
 77    |  1.0370 at  -3.99  |  1.0308 at -122.46  |  1.0358 at  117.37 |    .805
 78    |  1.0373 at  -4.01  |  1.0312 at -122.48  |  1.0360 at  117.35 |    .824
 79    |  1.0370 at  -4.02  |  1.0313 at -122.48  |  1.0359 at  117.36 |    .867
 80    |  1.0394 at  -4.07  |  1.0329 at -122.54  |  1.0368 at  117.24 |    .914
 81    |  1.0415 at  -4.14  |  1.0352 at -122.57  |  1.0374 at  117.14 |   1.004
 82    |  1.0424 at  -4.18  |  1.0364 at -122.60  |  1.0382 at  117.11 |   1.052
 83    |  1.0436 at  -4.20  |  1.0375 at -122.63  |  1.0390 at  117.07 |   1.099
 84    |                    |                     |  1.0348 at  117.09 |   1.132
 85    |                    |                     |  1.0336 at  117.07 |   1.222
 86    |  1.0349 at  -3.95  |  1.0279 at -122.55  |  1.0364 at  117.42 |    .862
 87    |  1.0342 at  -3.97  |  1.0272 at -122.63  |  1.0369 at  117.39 |    .947
 88    |  1.0342 at  -4.00  |                     |                    |    .980
